date,c1,c2,c3,p1,p2,p3
01-01-2020 00:00,-1.447181341,-1.018858478,-1.797791957,0.211275855,0.892586054,0.64936628
01-01-2020 01:00,-0.750799738,-1.408402395,-0.59888584,0.703453845,0.706350458,0.894998054
01-01-2020 02:00,-1.407116232,-0.685840788,-0.547768028,0.898600611,0.587521115,0.95302903
01-01-2020 03:00,-1.008581786,-1.375593184,-0.987084518,0.800826119,0.350534616,0.915378615
01-01-2020 04:00,-1.192543212,-1.908143226,-0.600695822,0.682436629,0.178584127,0.830873949
01-01-2020 05:00,-1.292772837,-1.766593499,-1.577279269,0.523104898,0.826255033,0.146507325
01-01-2020 06:00,-0.648808981,-1.485741872,-1.074171397,0.537682817,0.554673351,0.925768901
01-01-2020 07:00,-0.647736325,-1.872445185,-0.701724116,0.876814793,0.101470191,0.192199569
01-01-2020 08:00,-1.115761275,-1.831242393,-1.942245517,0.438897649,0.604874628,0.46051832
01-01-2020 09:00,-1.43056941,-1.616810782,-0.85328763,0.098039028,0.732117056,0.05387519
01-01-2020 10:00,-1.530404841,-1.573782105,-0.779725393,0.55268307,0.162284788,0.537344461
01-01-2020 11:00,-1.865303485,-1.662903565,-1.32928549,0.55917459,0.958636487,0.673791713
01-01-2020 12:00,-1.56608624,-1.930616942,-0.778471591,0.950226054,0.46644522,0.234178828
01-01-2020 13:00,-1.767948437,-1.502818574,-1.346947962,0.257901045,0.698496279,0.949541381
01-01-2020 14:00,-1.137774574,-1.34407998,-0.829874318,0.283366567,0.648113738,0.80924669
01-01-2020 15:00,-1.797313725,-1.91629507,-1.648233335,0.386105122,0.410261676,0.683310162
01-01-2020 16:00,-1.770047034,-0.565570928,-1.773076961,0.583640723,0.470184474,0.102620011
01-01-2020 17:00,-1.746805793,-0.577626829,-1.25850668,0.726733331,0.284037585,0.751664815
01-01-2020 18:00,-1.381058925,-0.541959427,-1.570979169,0.219318587,0.24901395,0.082920076
01-01-2020 19:00,-1.817821761,-0.957648237,-1.482208126,0.13477993,0.74991458,0.343477915
01-01-2020 20:00,-1.676098537,-1.18689635,-0.558706347,0.980051758,0.467096458,0.999328006
01-01-2020 21:00,-1.666929074,-0.848443548,-1.987012657,0.614374453,0.31419477,0.902132501
01-01-2020 22:00,-0.645598509,-0.541361139,-1.617654986,0.899263769,0.938841037,0.816213847
01-01-2020 23:00,-0.634020104,-1.68005943,-0.88315386,0.294951933,0.144801673,0.872451876
02-01-2020 00:00,-0.511847718,-1.22449661,-1.96678991,0.180638934,0.064168805,0.61682789
02-01-2020 01:00,-1.843965276,-0.514961403,-0.839629263,0.957895307,0.355985458,0.433362604
02-01-2020 02:00,-1.381165938,-1.451193967,-1.154742257,0.795511463,0.758265726,0.625949327
02-01-2020 03:00,-0.812815419,-1.266640368,-1.733551619,0.057003771,0.105434787,0.727355975
02-01-2020 04:00,-1.888769514,-1.267902926,-1.435896359,0.999341766,0.863929984,0.816808181
02-01-2020 05:00,-0.651199184,-1.824706754,-1.759042026,0.617665005,0.223837286,0.171873258
02-01-2020 06:00,-0.708041207,-1.898562332,-1.04185104,0.926190757,0.561445402,0.978234752
02-01-2020 07:00,-1.832938753,-1.677262533,-1.719014356,0.559706838,0.574148757,0.609980944
02-01-2020 08:00,-1.370598931,-1.180539805,-0.884028232,0.28672799,0.210998381,0.463135754
02-01-2020 09:00,-1.331038382,-1.819419709,-0.788687945,0.168114142,0.575696514,0.730255467
02-01-2020 10:00,-0.860545178,-1.063208305,-0.956756772,0.492615472,0.133582295,0.457446838
02-01-2020 11:00,-0.808302792,-1.408246073,-1.793851186,0.247579267,0.69301657,0.083210743
02-01-2020 12:00,-0.780598254,-1.470808383,-0.746295461,0.293135818,0.499950767,0.491420778
02-01-2020 13:00,-0.55572376,-1.991722507,-1.747073635,0.77457707,0.784414385,0.211609353
02-01-2020 14:00,-1.60726212,-0.816291123,-0.968562005,0.263995343,0.080735363,0.806474457
02-01-2020 15:00,-1.340228578,-0.811864825,-0.836663906,0.547483228,0.921190845,0.920027401
02-01-2020 16:00,-1.780478117,-1.780193384,-0.881229763,0.766403219,0.907728713,0.97398735
