date,c1,c2,c3,p1,p2,p3
01-01-2019 01:00,-0.782603631,-1.25739483,-1.723086311,0.859578106,0.887444921,0.958033988
01-01-2019 02:00,-1.940058427,-1.872741686,-1.255011992,0.862414076,0.562139051,0.781759911
01-01-2019 03:00,-1.207455592,-1.277210147,-0.920492441,0.766688657,0.839444015,0.109853245
01-01-2019 04:00,-1.027473304,-1.938944153,-0.997373606,0.976744083,0.929380523,0.362717774
01-01-2019 05:00,-1.125530955,-1.845974854,-0.554305008,0.455449947,0.656946658,0.820923486
01-01-2019 06:00,-1.857139177,-0.670396827,-1.902132818,0.077929672,0.542883859,0.469931041
01-01-2019 07:00,-0.614589562,-1.208825891,-0.574003776,0.39797658,0.402045952,0.376630279
01-01-2019 08:00,-0.748997751,-1.186516928,-1.288980478,0.633203555,0.732740894,0.380544479
01-01-2019 09:00,-1.410344312,-1.238204276,-1.392751026,0.250364217,0.164941119,0.482439411
01-01-2019 10:00,-1.991363368,-0.857637207,-1.878594467,0.544415316,0.792039425,0.116262822
01-01-2019 11:00,-0.702501235,-1.11691963,-0.507670728,0.563109594,0.164461028,0.753701356
01-01-2019 12:00,-1.972713854,-1.84933258,-1.685504571,0.173568817,0.349143851,0.628860424
01-01-2019 13:00,-1.484884545,-1.280581451,-0.986815918,0.866545796,0.303920578,0.077610126
01-01-2019 14:00,-1.808626267,-1.167061235,-1.916026234,0.280982858,0.354342488,0.472192078
01-01-2019 15:00,-1.846079542,-1.362777409,-1.824823603,0.524172882,0.599003856,0.674389868
01-01-2019 16:00,-0.962391781,-1.407626953,-0.965838727,0.625363824,0.46833497,0.895143061
01-01-2019 17:00,-1.681414195,-1.877061288,-1.508820294,0.307903842,0.889893893,0.879427908
01-01-2019 18:00,-1.469298698,-1.766941259,-0.698555961,0.840807129,0.917833436,0.793981812
01-01-2019 19:00,-1.10675268,-1.747077639,-1.727343598,0.713253578,0.161517854,0.515983285
01-01-2019 20:00,-1.695084907,-1.880273178,-1.788638218,0.611780635,0.210692284,0.697465329
01-01-2019 21:00,-1.396731988,-0.929289558,-0.502225784,0.983650729,0.245571185,0.454155494
01-01-2019 22:00,-1.429218786,-1.424951078,-1.121934813,0.561165719,0.139627347,0.076750679
01-01-2019 23:00,-1.626413737,-1.761731222,-0.974689729,0.121397366,0.165887907,0.457982132
02-01-2019 00:00,-0.989549143,-1.07902572,-1.759643252,0.128154394,0.548860907,0.503974238
02-01-2019 01:00,-1.377854757,-1.449532302,-0.739853214,0.927722331,0.824221605,0.100471728
02-01-2019 02:00,-1.355953742,-1.432845641,-0.673592707,0.408494818,0.328541483,0.253585837
02-01-2019 03:00,-1.063139214,-1.374426714,-1.631603697,0.141838851,0.343262439,0.711898598
02-01-2019 04:00,-1.187866131,-0.687734539,-1.037578197,0.061328848,0.221905027,0.647616793
02-01-2019 05:00,-1.188470589,-0.819163767,-1.664653287,0.160127434,0.17172401,0.838403504
02-01-2019 06:00,-1.163252538,-1.653954453,-0.587932485,0.77867048,0.287025561,0.221631367
02-01-2019 07:00,-1.540369221,-0.882204831,-0.529198199,0.397860503,0.785096491,0.643629575
02-01-2019 08:00,-1.495949161,-1.398690033,-1.23998526,0.392226079,0.33090873,0.655999006
02-01-2019 09:00,-1.154157576,-1.158403042,-1.799543982,0.987507305,0.791912255,0.292634388
02-01-2019 10:00,-0.962996982,-1.491645109,-1.694891887,0.787557446,0.667851722,0.637185672
02-01-2019 11:00,-0.590451861,-1.57917098,-1.204557407,0.082105608,0.662142574,0.061665344
02-01-2019 12:00,-0.676758056,-0.510617968,-1.201207946,0.657751776,0.788264275,0.082659637
02-01-2019 13:00,-1.652464842,-0.547151334,-0.596784041,0.058523018,0.578285994,0.3144341
02-01-2019 14:00,-1.682252187,-1.069914336,-1.13441309,0.778998572,0.315034492,0.638421101
02-01-2019 15:00,-0.910373043,-0.847904197,-0.863526646,0.598836013,0.263953033,0.888316118
02-01-2019 16:00,-1.851493793,-1.414036107,-0.583463354,0.65433309,0.321637816,0.26878967
02-01-2019 17:00,-1.654655626,-0.600065552,-1.726238846,0.14385051,0.980108942,0.65409521
